小区名称,均价,区域,板块,地址,物业公司,开发商,楼栋总数,房屋总数,经度_百度坐标,纬度_百度坐标,经度_WGS1984坐标,纬度_WGS1984坐标,metro,year,buildingType,propertyExpense
保成路4号楼,18573,江岸,前进江汉,(江岸前进江汉)江汉一路保成路4号楼,暂无信息,暂无信息,1,226,114.296895,30.589099,114.284908275614,30.5858463733325,1,1998,1,-1.0
揽胜公园,18575,洪山,珞狮南路,(洪山珞狮南路)南湖大道与狮子山北路交汇处,深圳市花样年国际物业服务有限公司武汉分公司,湖北润源房地产开发有限公司,12,1805,114.353027,30.487989,114.341103171723,30.484106623256,0,2017,3,2.6
光谷智慧城,18577,东湖高新,光谷广场,(东湖高新光谷广场)雄楚大街1019号,武汉当代物业管理有限责任公司,湖北当代地产集团有限公司,27,1416,114.414226,30.503827,114.402098307172,30.5004048511194,2,2002,1,0.6
新绿美地,18579,武昌,杨园,(武昌杨园)徐东路新绿美地,武汉顺诚物业管理有限公司,武汉市铸久置业有限公司,7,643,114.36406541674,30.5955659976,114.352149130926,30.5915523312247,8,2002,1,1.0
妙墩小区,18580,江汉,宝丰崇仁,(江汉宝丰崇仁)航空小路51号,街道办事处（居委会）代管物业,无开发商,4,320,114.267421,30.597418,114.255556081425,30.5937253600027,2,1992,2,0.5
青扬新桥花园,18582,青山,青山,(青山青山)工业二路青扬新桥花园,暂无信息,暂无信息,4,583,114.40213,30.640589,114.390031542832,30.6369446512013,0,2016,1,1.4
惠西小区,18585,江岸,台北香港路,(江岸台北香港路)建设大道惠西小区,无物业管理服务,无开发商,16,1240,114.28979135678,30.607422370147,114.277813031849,30.6040856655842,3,1995,1,-1.0
二七国际,18586,江岸,后湖,(江岸后湖)二七路与建设大道交汇处,长城物业管理公司,武汉金力利腾房地产开发有限公司,3,798,114.312406,30.63534,114.300357708205,30.6320636185311,3,2017,3,3.24
新南方小区,18586,武昌,中南丁字桥,(武昌中南丁字桥)中南三路47到51号,业主自筹物业,无开发商,9,464,114.34612793987,30.545027626381,114.334185867372,30.5412363783766,2,2000,3,0.6
钢都花园125街坊,18591,青山,青山,(青山青山)南干渠路3,武汉武钢物业管理有限公司,武钢公司房地产公司,38,1576,114.36953729389,30.619663525142,114.357588566006,30.6156268773775,0,2002,3,0.8
瑞地自由度,18593,汉阳,七里庙,(汉阳七里庙)汉阳大道712号,业主自筹物业,湖北瑞地置业有限公司,2,296,114.221803,30.566957,114.209869538259,30.5633132531181,4,2006,2,1.6
琴台村,18599,汉阳,钟家村,(汉阳钟家村)西桥路琴台村,无物业管理服务,无开发商,9,510,114.27018616772,30.556321456135,114.258315034495,30.5526891671828,4,2008,3,-1.0
王家墩小区,18601,洪山,徐东,(洪山徐东)宏昌路王家墩小区,暂无信息,暂无信息,3,126,114.349461,30.591301,114.337537304214,30.5874410387623,8,0,1,-1.0
欧洲花园,18605,武昌,徐东,(武昌徐东)徐东大街35号,武汉徐东物业管理有限公司,武汉市徐东房地产开发有限公司,15,1299,114.35512822099,30.595851962734,114.343209866897,30.5919101095115,8,2000,2,0.8
蓝空公寓,18606,洪山,街道口,(洪山街道口)于洪山武珞路650号,暂无信息,暂无信息,2,84,114.350939,30.534498,114.338998743092,30.5306288865762,2,0,0,-1.0
丽岛美生,18611,东湖高新,三环南,(东湖高新三环南)民族大道318号,武汉丽岛物业管理有限公司,武汉美生置业有限公司,8,1501,114.394637,30.463537,114.382628249007,30.4598349814111,0,2010,3,1.8
武车七村,18617,洪山,沙湖,(洪山沙湖)恵安路附近,业主自筹物业,无开发商,13,564,114.33583777156,30.588377603985,114.323877769279,30.5847724250297,7,1996,1,0.5
东民社区,18618,江汉,前进江汉,(江汉前进江汉)水塔街东民社区,暂无信息,暂无信息,4,284,114.292023,30.587427,114.280054673234,30.5841295089585,1,0,1,-1.0
美好范米粒,18620,汉阳,钟家村,(汉阳钟家村)马鹦路特一号,武汉名流幸福物业服务有限公司,美好置业集团股份有限公司武汉分公司,1,713,114.25654,30.556205,114.244710419103,30.5523885574982,4,2000,2,2.8
菱角湖万达广场A区,18629,江汉,新华路万达,(江汉新华路万达)唐家墩路7.9.11号,武汉万达物业管理有限公司,武汉万达广场投资有限公司,4,1506,114.274622,30.615479,114.262706644327,30.6118951165872,3,2010,3,1.85
紫湖村11号,18633,武昌,首义,(武昌首义)紫湖村11号,暂无信息,暂无信息,1,84,114.30906,30.535487,114.297030354601,30.5322690752976,4,0,1,-1.0
长航小区,18634,东湖高新,光谷广场,(东湖高新光谷广场)象鼻山长航小区,暂无信息,暂无信息,3,98,114.415834,30.504424,114.403702360263,30.5010179426458,0,0,1,-1.0
武车一村,18638,洪山,沙湖,(洪山沙湖)和平大道,无物业管理服务,无开发商,17,785,114.33562045979,30.590060697773,114.323658549006,30.5864589115242,7,2000,1,0.5
红旗小区,18643,硚口,宗关,(硚口宗关)解放路6号,业主自筹物业,武汉市市政建设集团有限公司,6,338,114.23639366246,30.584832068612,114.224542376654,30.5809967080801,3,0,3,-1.0
大东门四村,18646,武昌,武昌火车站,(武昌武昌火车站)大东门四村,街道办事处（居委会）代管物业,武汉市市政建设集团有限公司,11,753,114.32541847143,30.544164513701,114.313414506603,30.5407662036731,4,1998,1,0.5
文明路,18647,武昌,首义,(武昌首义)文明路,无物业管理服务,无开发商,4,236,114.30207803331,30.546341361658,114.290066974823,30.5431267371691,0,2013,1,-1.0
解放路257号,18647,武昌,首义,(武昌首义)解放路257号,暂无信息,暂无信息,1,18,114.304136,30.543758,114.292118788891,30.5405471959198,0,0,1,-1.0
碧苑花园C区,18647,青山,青山,(青山青山)冶金大道50号,青山区物业管理处,武汉天舜房地产开发有限公司,1,96,114.38391946609,30.634515170648,114.371912985209,30.6305793538171,0,2005,1,1.0
香榭大厦,18648,江岸,台北香港路,(江岸台北香港路)亚单角16号,街道办事处（居委会）代管物业,暂无信息,1,484,114.297799,30.602593,114.285796824077,30.5993384534981,6,1993,1,0.9
悦达新天地,18653,青山,青山,(青山青山)109街坊（友谊大道与工业三路交汇处）,武汉雅吉物业管理有限公司,武汉雨泽房地产开发有限公司,2,336,114.406748,30.62614,114.394632499811,30.6225759899097,0,2016,1,2.2
十九街坊,18653,青山,青山,(青山青山)十九街坊,武汉武钢物业管理有限公司,暂无信息,21,1003,114.40834715209,30.642859587049,114.396222706784,30.6393117550539,0,2001,1,1.2
江汉北路18号,18656,江岸,台北香港路,(江岸台北香港路)江汉北路18号,无物业管理服务,无开发商,7,364,114.28764129701,30.594910520175,114.275685421193,30.5915530776256,1,1992,2,-1.0
三五零六社区,18661,硚口,集贤,(硚口集贤)宝丰二村28号,街道办事处（居委会）代管物业,无开发商,19,1348,114.26940133675,30.581358997886,114.25753994435,30.5777070288011,1,1990,3,0.55
鹏程花园,18661,洪山,徐东,(洪山徐东)杨园徐东街23号,武汉市鹏程物业管理有限责任公司,武汉鹏大房地产开发有限公司,20,1533,114.36070316318,30.590236286785,114.348792910126,30.5862444382253,8,2001,1,1.0
首义路270号,18662,武昌,首义,(武昌首义)首义路270号,暂无信息,暂无信息,1,36,114.31420471693,30.533749954079,114.302173884632,30.5304995189199,4,0,3,-1.0
三阳村,18668,江岸,三阳路,(江岸三阳路)三阳村1号,暂无信息,暂无信息,2,120,114.311743,30.600763,114.299722215351,30.5975117055247,1,0,0,-1.0
街道口小区,18670,武昌,中南丁字桥,(武昌中南丁字桥)武珞路街道口小区,暂无信息,暂无信息,7,294,114.354375,30.535087,114.34244067215,30.5311706006742,2,1994,3,-1.0
保利心语八期,18671,洪山,珞狮南路,(洪山珞狮南路)野芷湖西路6号,保利（武汉）物业管理有限公司,保利房地产（集团）股份有限公司,6,1052,114.3281430148,30.485147751503,114.316154083732,30.4817205406718,0,2013,3,2.17
华锦花园一期,18673,洪山,南湖沃尔玛,(洪山南湖沃尔玛)恒安路2号,武汉市惠民物业管理有限责任公司,暂无信息,19,649,114.321558,30.50907,114.309532319672,30.5057392915267,7,2000,1,0.48
大歌笛湖社区,18674,武昌,首义,"(武昌首义)水陆街43号, 张之洞路186号",街道办事处（居委会）代管物业,武汉市市政建设集团有限公司,16,731,114.306949,30.539414,114.29492420431,30.5362019241086,4,1996,3,0.8
南巷社区,18683,硚口,汉正街,(硚口汉正街)友谊路片民意四路六角亭南巷社区,无物业管理服务,暂无信息,9,729,114.28286934217,30.582837356532,114.270944211301,30.579414022526,1,1991,1,0.6
后长街43号,18687,武昌,首义,(武昌首义)后长街43号,暂无信息,暂无信息,1,24,114.306308,30.547419,114.294291139625,30.5442073882496,0,0,1,-1.0
福星惠誉·仁和公馆,18687,洪山,青山,(洪山青山)仁和路福星惠誉仁和公馆小区,暂无信息,暂无信息,2,320,114.397598,30.60843,114.385541043544,30.6047260767516,4,2014,1,2.8
首义大院,18688,武昌,首义,(武昌首义)体育街1号,暂无信息,暂无信息,3,1,114.310627,30.542801,114.298603011486,30.5395751335087,4,0,1,-1.0
三五零六G栋小区,18690,硚口,集贤,(硚口集贤)解放大道302号,暂无信息,暂无信息,1,56,114.270416,30.582731,114.258549798031,30.5790952096292,1,0,0,-1.0
涂家岭社区安顺苑,18694,武昌,武昌火车站,(武昌武昌火车站)丁字桥路86号,街道办事处（居委会）代管物业,无开发商,1,56,114.336541,30.531144,114.324559235746,30.5275372529767,0,1999,2,0.4
武咨大厦,18700,江岸,大智路,(江岸大智路)兰陵路1号,暂无信息,暂无信息,1,66,114.307505,30.590263,114.295495836194,30.5870371027086,0,0,0,-1.0
紫荆花园(江岸),18704,江岸,台北香港路,(江岸台北香港路)香港路37附9号,武汉蓝康物业管理有限公司,武汉市江岸区教育房地产开发有限公司,10,252,114.29549053563,30.602405349445,114.283495824792,30.599133317933,1,1998,1,0.98
煤炭设计院,18706,武昌,武昌火车站,"(武昌武昌火车站)武珞路442号, 付家坡路442号",单位代管物业,武汉市市政建设集团有限公司,31,399,114.334827,30.539597,114.322846269833,30.5360234074649,4,2001,3,0.5
湖北艺术职业学院职工宿舍,18706,洪山,卓刀泉,"(洪山卓刀泉)湖北艺术职业卓刀泉路126号, 卓刀泉路126-1号",暂无信息,暂无信息,1,36,114.377967,30.516166,114.365995661513,30.5122079300432,0,0,0,-1.0
东新熙园,18707,江岸,二七,(江岸二七)长湖地一村2附1号,武汉鹏安物业管理有限公司,武汉东勤置业有限公司,16,574,114.32668471556,30.638733186944,114.314658400926,30.6352724924226,1,2005,1,1.2
单洞社区,18710,江汉,武广万松园,(江汉武广万松园)单洞三路23号,街道办事处（居委会）代管物业,无开发商,14,596,114.28713953058,30.58864098623,114.275191065425,30.5852800691223,1,1994,3,0.5
新香港大厦,18717,江岸,台北香港路,(江岸台北香港路)苗粟路新香港大厦,业主自筹物业,无开发商,1,180,114.296005,30.602112,114.284008931004,30.5988444731615,6,1997,2,0.8
任冬新村,18720,江汉,前进江汉,(江汉前进江汉)任冬街任冬新村,暂无信息,无开发商,13,540,114.290101,30.585919,114.278141420811,30.582599384634,1,1990,1,0.5
华银城,18722,江汉,CBD西北湖,(江汉CBD西北湖)建设大道737号,武汉华银房地产开发有限公司物业管理分公司,华银房地产开发有限公司,2,288,114.281401,30.604672,114.269464362138,30.6012117211316,7,2001,2,1.5
万松街阳光家园,18725,江汉,宝丰崇仁,(江汉宝丰崇仁)万松横路18号,暂无信息,暂无信息,2,112,114.268957,30.595024,114.257088257363,30.5913574407699,2,0,1,-1.0
洞庭小路3号-4号,18725,江岸,三阳路,(江岸三阳路)洞庭小路3号,暂无信息,暂无信息,2,16,114.308435,30.5939,114.296422049739,30.5906692846432,0,0,0,-1.0
英特小区,18733,洪山,沙湖,(洪山沙湖)徐东大街316号,武汉电信络华智能技术有限公司,武汉市市政建设集团有限公司,26,1583,114.363624,30.582245,114.351717426257,30.5782404144082,4,2001,3,0.5
3604小区,18741,硚口,宝丰崇仁,(硚口宝丰崇仁)解放大道汉西路口,无物业管理服务,无开发商,10,1540,114.245399,30.583926,114.233574620581,30.5800516088115,1,2000,1,0.5
香港丽都,18741,江汉,唐家墩,(江汉唐家墩)香港路318号,武汉天成物业管理有限公司,无开发商,1,252,114.2821569964,30.616577952572,114.270204162061,30.6131223272248,6,2007,1,1.5
紫东馨居,18742,武昌,武昌火车站,(武昌武昌火车站)紫阳东路12号,业主自筹物业,暂无信息,2,108,114.337617,30.536848,114.325642788808,30.5332192605426,4,2004,1,0.6
天宇盛世滨江悦滨江,18744,硚口,宗关,(硚口宗关)汉西一路、沿河大道、崔家墩路交汇处（沿河大道硚口区政府旁）,世邦魏理仕物业顾问有限公司武汉分公司,武汉市时代天宇置业有限公司,4,242,114.225019,30.586801,114.213104542023,30.583100077995,1,2017,3,3.2
红盛路21到23号,18744,洪山,徐东,(洪山徐东)红盛路21到23号,暂无信息,暂无信息,1,28,114.344386,30.596703,114.332444908614,30.5929270894694,8,0,1,-1.0
锦绣家园,18744,武昌,杨园,(武昌杨园)杨园街铁机路7号,武汉江南实业集团物业管理有限公司,武汉江南实业集团房地产开发有限公司,14,1031,114.35676872218,30.61573071516,114.344831113896,30.6117574824825,0,2007,1,0.8
友益街大楼,18746,江岸,三阳路,(江岸三阳路)友益街72附2,暂无信息,暂无信息,1,94,114.305534,30.598106,114.293519898552,30.5948783474349,1,1995,1,-1.0
世茂龙湾六期,18747,蔡甸,蔡甸其它,(蔡甸蔡甸其它)知音湖大道特1号,暂无信息,暂无信息,1,1,114.08833657541,30.509920122229,114.076044193775,30.5063779284399,0,0,0,-1.0
双星大厦,18747,武昌,中南丁字桥,(武昌中南丁字桥)中南三路28号,暂无信息,暂无信息,1,224,114.342128,30.545969,114.330175732098,30.5422513769411,2,0,2,-1.0
钢花村街117社区,18750,青山,青山,(青山青山)一一七街坊,武汉武钢物业管理有限公司,暂无信息,42,1596,114.38788715336,30.627379953253,114.375863907961,30.6235036505273,0,2000,1,0.5
建乐小区,18752,硚口,宝丰崇仁,(硚口宝丰崇仁)中山大道建乐小区,街道办事处（居委会）代管物业,武汉市市政建设集团有限公司,13,1130,114.260845,30.576957,114.2490142319,30.5731820372555,1,1996,1,0.6
新世纪花园A区,18757,武昌,徐东,(武昌徐东)团结大道1015号,武汉江夏凯翔物业管理有限公司,武汉市江夏区宏远房地产开发有限公司,5,421,114.36126596747,30.593742131367,114.349352735454,30.5897443824426,8,2002,1,0.8
兰陵路6号,18759,江岸,三阳路,(江岸三阳路)兰陵路6号,暂无信息,暂无信息,1,56,114.30695,30.591195,114.294940621104,30.5879697868974,0,0,1,-1.0
钢都花园128街坊,18759,洪山,青山,(洪山青山)园林路86号,暂无信息,暂无信息,18,971,114.376294,30.613378,114.364332490892,30.6093750303745,0,2002,1,0.8
中大长江紫都四期,18760,洪山,白沙洲,(洪山白沙洲)武金堤东路与堤东街交汇处（南外滩）,浙江绿城物业管理有限公司,武汉市巡司河物业发展有限公司,7,877,114.287795,30.513295,114.275815871016,30.509959994257,0,2015,1,2.2
天伦我的寓所,18760,江岸,后湖,(江岸后湖)二七小路天伦我的寓所,武汉天馨物业发展有限公司,湖北天伦房地产开发有限公司,2,507,114.310482,30.645903,114.298435309731,30.6426346889584,3,2007,2,1.4
尚隆苑社区,18767,武昌,积玉桥,(武昌积玉桥)友谊大道尚隆苑社区,暂无信息,暂无信息,1,105,114.323034,30.560882,114.311038379221,30.5575206148746,7,0,1,0.5
万信时代大厦,18768,硚口,集贤,(硚口集贤)中山大道282号,无物业管理服务,无开发商,1,240,114.27655,30.575037,114.264657438003,30.5715098292919,6,1995,2,1.8
江南花园,18771,武昌,杨园,(武昌杨园)纺机路43号,武汉江南实业集团物业管理有限公司,武汉宏昌投资有限公司,7,904,114.357244,30.603552,114.345319679742,30.5995818470768,8,2008,1,1.05
金色雅园金沙苑,18773,江汉,长港路,(江汉长港路)常青一路88号,武汉名星物业管理有限责任公司,武汉市城市建设投资开发总公司,15,646,114.25503123904,30.630126728499,114.243169171511,30.6262614546959,2,2003,1,0.9
新奥学府佳邻,18773,青山,青山,(青山青山)建设二路32附14,武汉中冶新奥物业管理有限公司,暂无信息,3,245,114.37994180206,30.633561041025,114.367952909091,30.6295790467032,0,2008,1,0.6
当代国际城,18773,东湖高新,金融港,(东湖高新金融港)光谷一路与高新六路交汇处（2号线南延长线佛祖岭站）,武汉当代物业管理有限责任公司,湖北当代地产集团有限公司,21,2033,114.44189,30.447166,114.429842323717,30.4437476387004,0,2015,1,2.3
仁厚社区,18780,硚口,汉正街,(硚口汉正街)民意四路仁厚社区,无物业管理服务,无开发商,14,1642,114.282997,30.584971,114.27107024481,30.5815486948385,1,1995,1,0.9
新新花园,18781,武昌,徐东,(武昌徐东)徐东大街43号,湖北地龙天安物业管理有限公司,湖北地龙实业集团有限公司,10,637,114.357595032,30.596996749668,114.345677765909,30.5930273091277,8,1995,1,1.2
钢都花园127街坊,18786,洪山,青山,(洪山青山)友谊大道770号,武汉武钢物业管理有限公司,暂无信息,28,1126,114.375397,30.616022,114.363435889972,30.612011026501,0,2000,1,0.65
钢都花园124街坊,18787,洪山,青山,(洪山青山)友谊大道798号,暂无信息,暂无信息,30,1010,114.377845,30.617271,114.365874113755,30.613278023905,0,1998,3,0.7
空军世纪花园,18788,硚口,宝丰崇仁,(硚口宝丰崇仁)建设大道433号,无物业管理服务,无开发商,3,160,114.25566863008,30.591235254707,114.243840981253,30.5873993172427,3,2002,1,2.0
国信城,18789,江岸,台北香港路,"(江岸台北香港路)江汉高雄路1号, 高雄路特1号",业主自筹物业,无开发商,5,212,114.293225,30.59973,114.28124124452,30.5964381971068,6,2005,1,1.35
纺机社区,18796,武昌,杨园,(武昌杨园)才茂街纺机社区,单位代管物业,武汉市市政建设集团有限公司,15,1078,114.35726532403,30.602680682479,114.345341938435,30.5987108839537,8,1990,1,0.8
保成路,18799,江岸,前进江汉,(江岸前进江汉)保成路106号,无物业管理服务,无开发商,6,296,114.29609261885,30.589093190329,114.284108439111,30.5858343401383,2,1996,3,0.6
常青藤一期,18800,东湖高新,光谷广场,(东湖高新光谷广场)常青藤路常青藤一期,湖北地龙天安物业管理有限公司,湖北地龙实业集团有限公司,7,542,114.41680851966,30.511266337206,114.404671573545,30.507866443921,0,2004,1,1.2
阳光美墅,18801,洪山,卓刀泉,(洪山卓刀泉)雄楚大道465号,武汉馨源物业管理有限公司,湖北昕阳房地产开发有限公司,2,207,114.379391,30.511732,114.367415002805,30.5077887284759,2,2009,2,1.5
城市印象,18803,武昌,武昌火车站,(武昌武昌火车站)丁字桥路68附21号,武汉好管家物业管理有限公司,湖北治历实业有限责任公司,5,278,114.335861,30.528492,114.323875539291,30.5248991423952,0,2005,3,1.2
德望社区,18811,江汉,台北香港路,(江汉台北香港路)台北路234号,街道办事处（居委会）代管物业,无开发商,8,455,114.283527,30.608348,114.271576078737,30.6049199276132,3,1990,1,0.6
南湖新村,18813,洪山,老南湖,(洪山老南湖)南湖新千家街12号,无物业管理服务,无开发商,9,344,114.31664099762,30.517491572459,114.304605925876,30.5142204879058,7,1991,2,0.5
武科大宿舍,18814,洪山,徐东,(洪山徐东)团结南路16号,暂无信息,暂无信息,2,28,114.347124,30.591129,114.33519507393,30.587307749969,8,0,1,-1.0
长安社区,18821,江岸,三阳路,(江岸三阳路)公安街5号,暂无信息,暂无信息,2,31,114.304463,30.599328,114.292449185735,30.5960996100321,1,1998,1,-1.0
统建天成美景,18822,东湖高新,光谷东,(东湖高新光谷东)光谷一路与湖口一路交汇处,武汉地产集团东方物业有限公司,武汉天成美景置业有限公司,8,1613,114.443238,30.490292,114.431172210829,30.486840251691,11,2017,1,2.8
民政厅小区,18826,武昌,首义,(武昌首义)首义路266号,暂无信息,暂无信息,2,52,114.314329,30.534532,114.3022988308,30.5312803961382,0,0,0,-1.0
联发九都府,18829,硚口,古田,(硚口古田)解放大道233号,厦门联发(集团)物业服务有限公司武汉分公司,联发集团武汉房地产开发有限公司,5,1263,114.2182843527,30.596131452692,114.206315948504,30.5925317682768,1,2012,1,4.6
五合里社区,18832,汉阳,七里庙,(汉阳七里庙)汉钢路4号,暂无信息,暂无信息,2,102,114.244749,30.561621,114.232921748923,30.5577542269786,0,1999,1,0.5
纽宾凯汉city都会中心繁华里,18833,汉阳,七里庙,(汉阳七里庙)汉阳大道纽宾凯汉city都会中心,武汉纽宾凯物业服务有限公司,武汉十里新航置业有限公司,3,353,114.220523,30.568037,114.208581010932,30.564413499219,3,2017,3,3.2
街道口市政宿舍,18835,武昌,中南丁字桥,(武昌中南丁字桥)珞狮路8号,暂无信息,暂无信息,6,283,114.361244,30.539154,114.349317009333,30.5351710154468,2,0,1,-1.0
街道口航天大院,18836,洪山,街道口,(洪山街道口)珞狮路116号,暂无信息,暂无信息,1,26,114.357902,30.531228,114.345968250104,30.5272729895764,2,1998,3,-1.0
南国明珠三期,18844,汉阳,王家湾,(汉阳王家湾)龙阳大道85号,武汉澳雅物业管理有限公司,新亿胜（武汉）置业发展有限公司,11,685,114.21016094897,30.550153001128,114.198132318176,30.5466995946154,3,2011,1,2.0
钢都花园123街坊,18846,洪山,青山,(洪山青山)友谊大道759号,暂无信息,暂无信息,39,1898,114.3766990918,30.620337101374,114.364729693614,30.6163328100702,0,1996,1,0.8
紫湖村25号,18849,武昌,首义,(武昌首义)紫湖村25号,暂无信息,暂无信息,1,12,114.30899,30.537678,114.29696214702,30.5344601473517,4,0,0,-1.0
杨园柴林头西区,18859,武昌,杨园,(武昌杨园)杨园柴林小区,无物业管理服务,武汉市徐东房地产开发有限公司,11,349,114.35283968798,30.610285072293,114.340902964858,30.606363057328,0,1994,3,0.65
黄鹤世家,18864,武昌,首义,(武昌首义)大成路29号,武汉鑫田物业代理有限公司,湖北长银房地产开发有限责任公司,5,342,114.302906,30.54983,114.290896521675,30.5466170715981,0,2004,1,0.6
江汉北路108号,18865,江岸,台北香港路,(江岸台北香港路)江汉北路108号,暂无信息,暂无信息,1,32,114.28207,30.597041,114.270138172167,30.593596732957,7,0,1,-1.0
万年社区,18867,江汉,前进江汉,(江汉前进江汉)民族路80号,暂无信息,暂无信息,1,1,114.29255,30.575755,114.280584006775,30.5724685789443,0,0,0,-1.0
金沙阁,18870,武昌,中南丁字桥,(武昌中南丁字桥)紫沙路46号,武汉幸福湾物业管理有限公司,武汉市市政建设集团有限公司,2,86,114.32877057,30.551377843873,114.316782157368,30.5479198423481,7,1998,2,0.8
鼓风社区,18870,东湖高新,华科大,"(东湖高新华科大)关山街关山武黄公路2号, 珞喻东路201号",业主自筹物业,无开发商,23,938,114.43495519069,30.513107870469,114.422834125354,30.5097267618395,0,1996,1,0.5
质监局宿舍,18871,洪山,街道口,"(洪山街道口)珞喻村12号, 珞喻村86号",暂无信息,暂无信息,2,100,114.361585,30.529728,114.349650982961,30.5257438235643,2,1998,1,-1.0
东谷银座,18879,东湖高新,光谷广场,(东湖高新光谷广场)珞喻路727号,武汉市居安物业管理有限公司,武汉市洪荣物业发展有限公司,1,156,114.40145853048,30.515710543124,114.389373700179,30.5121008205843,2,2006,2,2.5
葛洲坝世纪花园,18880,东湖高新,华科大,(东湖高新华科大)东湖新技术开发区珞喻东路26号,葛洲坝物业管理有限公司,葛洲坝海集房地产开发有限公司,35,2235,114.45668362615,30.511042950915,114.444691328546,30.5073795434649,0,2009,3,1.5
新华社区出版局宿舍,18881,硚口,古田,(硚口古田)解放大道新华社区出版局宿舍,无物业管理服务,无开发商,5,276,114.21615545142,30.599097281813,114.204168700313,30.5955307003267,1,1996,1,-1.0
香港路179到181号,18885,江岸,台北香港路,(江岸台北香港路)香港路179号,暂无信息,暂无信息,1,66,114.292338,30.609525,114.280346995391,30.6062172361196,3,2000,1,-1.0
电建地产盛世江城,18889,江汉,长港路,(江汉长港路)新湾路9号,中国电建物业管理有限公司武汉分公司,湖北鼎汉投资有限公司,14,4734,114.253012,30.639366,114.241150308458,30.6354822094407,2,2016,3,2.8
裕华公寓,18889,江岸,大智路,(江岸大智路)友益街102号,街道办事处（居委会）代管物业,武汉长青房屋开发公司,1,402,114.301636,30.596535,114.289630280272,30.5933032265073,1,2004,2,1.0
月湖景苑,18890,汉阳,七里庙,(汉阳七里庙)龙灯堤65号,中航物业管理有限公司武汉分公司,湖北合江置业有限公司,3,237,114.252646,30.568959,114.240827451173,30.5651105673265,0,2004,1,0.6
鄱阳街24号,18893,江岸,前进江汉,(江岸前进江汉)鄱阳街24号,暂无信息,暂无信息,1,1,114.303481,30.587827,114.291478956486,30.5846045229828,0,0,1,-1.0
汉口城市之光,18894,江汉,CBD西北湖,(江汉CBD西北湖)北湖西路97号,武汉城市瑞景物业管理有限公司,武汉市硚口城建开发公司,4,336,114.272782,30.610145,114.260880669854,30.6065327993374,3,2003,1,1.2
省中医院宿舍,18894,武昌,武昌火车站,(武昌武昌火车站)紫阳东路6号,暂无信息,暂无信息,2,40,114.339147,30.536721,114.32717748444,30.5330620086421,4,1996,1,-1.0
景江华庭,18902,江汉,前进江汉,(江汉前进江汉)胜利街263号,武汉旭辉物业管理有限公司,武汉市荆江房地产开发有限公司,3,735,114.28964991609,30.583509081542,114.27769350815,30.5801849231842,6,2004,2,1.4
景虹花园,18903,洪山,老南湖,(洪山老南湖)南湖花园城瑞安街特1号,武汉市洪山区江宏花园物业管理有限公司,武汉江宏房地产开发公司,19,1620,114.32738953528,30.521364628828,114.315375950311,30.5179351206761,7,2009,3,1.0
马房山经济适用房,18905,洪山,街道口,"(洪山街道口)洪达巷马房山经济适用房, 珞狮路14号",暂无信息,暂无信息,2,55,114.35447,30.525651,114.342530140517,30.5217347423738,0,2013,3,-1.0
招商公园1872四期璟园,18906,汉阳,四新,(汉阳四新)江城大道公园1872四期璟园,武汉招商局物业管理有限公司,暂无信息,8,1159,114.229536,30.540188,114.217631096021,30.5364348124829,0,2016,3,3.2
二航设计院,18908,武昌,中南丁字桥,(武昌中南丁字桥)民主路二航设计院,街道办事处（居委会）代管物业,暂无信息,11,387,114.327875,30.549892,114.315882720548,30.5464504171783,7,1991,3,0.85
广电兰亭熙园,18912,汉阳,钟家村,(汉阳钟家村)马鹦路189号,广州广电物业管理有限公司武汉分公司,武汉广电房地产开发有限公司,9,1487,114.25475992729,30.544047190221,114.242921807741,30.5402166358067,0,2012,2,2.0
友谊社区南区,18918,硚口,汉正街,(硚口汉正街)民主街16号,无物业管理服务,无开发商,6,604,114.28485888376,30.582616676967,114.272924443229,30.5792248871524,1,2001,1,-1.0
唐蔡天下,18919,江汉,唐家墩,(江汉唐家墩)唐蔡路16号,武汉中实物业管理有限公司,武汉市江汉区房地产公司,1,234,114.281987,30.623374,114.2700293076,30.6199114490514,6,2014,1,2.2
翠湖苑,18928,武昌,首义,(武昌首义)工程营23到27号,暂无信息,暂无信息,3,112,114.31358,30.53812,114.301552286484,30.534874410767,4,0,1,-1.0
中医院宿舍(武昌),18929,武昌,积玉桥,(武昌积玉桥)公平路21附8号,业主自筹物业,无开发商,3,240,114.320136,30.562444,114.30813568325,30.5591244256709,2,1998,1,0.5
大华滨江天地三期铂金瑞府,18932,青山,青山,(青山青山)园林路15号,大华集团上海物业管理有限公司武汉分公司,武汉大华东兴房地产有限公司,11,1615,114.369821,30.628859,114.357865597127,30.6248175444402,0,2016,3,2.6
东方时空,18939,江汉,武广万松园,(江汉武广万松园)江汉北路83号,武汉美好物业管理有限公司,武汉美联地产有限公司,1,286,114.286298,30.59311,114.274349839697,30.5897343094548,1,2003,1,1.8
保利心语一期,18944,洪山,珞狮南路,(洪山珞狮南路)马湖路2号,保利（武汉）物业管理有限公司,保利房地产（集团）股份有限公司,14,1371,114.33286468161,30.476692385996,114.32089866169,30.4731803494692,0,2008,3,1.65
为群二村,18948,江岸,二七,(江岸二七)为群二村,无物业管理服务,武汉市市政建设集团有限公司,14,491,114.32572373811,30.636147333646,114.313694939704,30.6327042482401,1,2002,1,-1.0
